"lon","lat","species","B01","B03"
152.833,-27.2,"Koala",19.9174728393555,0.508925914764404
152.95,-27.116667,"Koala",20.4916381835938,0.501514911651611
152.95,-27.45,"Koala",20.2179164886475,0.51291024684906
152.95,-27.45,"Koala",20.2179164886475,0.51291024684906
152.883333,-27.533333,"Koala",20.5489730834961,0.521196901798248
152.9,-27.4,"Koala",20.0622367858887,0.517392218112946
152.766667,-27.333333,"Koala",18.3776245117188,0.49484857916832
152.883333,-27.366667,"Koala",20.1331939697266,0.516899704933167
152.95,-27.083333,"Koala",20.4916381835938,0.501514911651611
152.8,-27.533333,"Koala",20.4972496032715,0.527742505073547
152.75786,-27.08149,"Koala",18.475736618042,0.491542011499405
