"","tpv","tpr","fpr","tnr","fnr","ppv","fdr","npv","fors","L.diag","L.pred","L.all","L.eq.diag"
"1",0.03,1,1,0,0,0.5,0.5,NA,NA,0.5,0.5,0.5,1
"2",0.031,1,0.962264150943396,0.0377358490566038,0,0.509615384615385,0.490384615384615,1,0,0.481132075471698,0.245192307692308,0.363162191582003,0.962264150943396
"3",0.033,1,0.943396226415094,0.0566037735849057,0,0.514563106796116,0.485436893203884,1,0,0.471698113207547,0.242718446601942,0.357208279904744,0.943396226415094
"4",0.034,1,0.905660377358491,0.0943396226415094,0,0.524752475247525,0.475247524752475,1,0,0.452830188679245,0.237623762376238,0.345226975527741,0.905660377358491
"5",0.035,1,0.867924528301887,0.132075471698113,0,0.535353535353535,0.464646464646465,1,0,0.433962264150943,0.232323232323232,0.333142748237088,0.867924528301887
"6",0.036,1,0.830188679245283,0.169811320754717,0,0.54639175257732,0.45360824742268,1,0,0.415094339622642,0.22680412371134,0.320949231666991,0.830188679245283
"7",0.037,1,0.811320754716981,0.188679245283019,0,0.552083333333333,0.447916666666667,1,0,0.405660377358491,0.223958333333333,0.314809355345912,0.811320754716981
"8",0.039,1,0.792452830188679,0.207547169811321,0,0.557894736842105,0.442105263157895,1,0,0.39622641509434,0.221052631578947,0.308639523336644,0.792452830188679
"9",0.042,1,0.773584905660377,0.226415094339623,0,0.563829787234043,0.436170212765957,1,0,0.386792452830189,0.218085106382979,0.302438779606584,0.773584905660377
"10",0.043,1,0.735849056603774,0.264150943396226,0,0.576086956521739,0.423913043478261,1,0,0.367924528301887,0.21195652173913,0.289940525020509,0.735849056603774
"11",0.046,1,0.716981132075472,0.283018867924528,0,0.582417582417582,0.417582417582418,1,0,0.358490566037736,0.208791208791209,0.283640887414472,0.716981132075472
"12",0.053,0.981132075471698,0.716981132075472,0.283018867924528,0.0188679245283019,0.577777777777778,0.422222222222222,0.9375,0.0625,0.367924528301887,0.242361111111111,0.305142819706499,0.69811320754717
"13",0.055,0.981132075471698,0.69811320754717,0.30188679245283,0.0188679245283019,0.584269662921348,0.415730337078652,0.941176470588235,0.0588235294117647,0.358490566037736,0.237276933245208,0.297883749641472,0.679245283018868
"14",0.065,0.981132075471698,0.679245283018868,0.320754716981132,0.0188679245283019,0.590909090909091,0.409090909090909,0.944444444444444,0.0555555555555556,0.349056603773585,0.232323232323232,0.290689918048409,0.660377358490566
"15",0.067,0.981132075471698,0.660377358490566,0.339622641509434,0.0188679245283019,0.597701149425287,0.402298850574713,0.947368421052632,0.0526315789473684,0.339622641509434,0.227465214761041,0.283543928135237,0.641509433962264
"16",0.072,0.962264150943396,0.660377358490566,0.339622641509434,0.0377358490566038,0.593023255813954,0.406976744186047,0.9,0.1,0.349056603773585,0.253488372093023,0.301272487933304,0.622641509433962
"17",0.083,0.962264150943396,0.641509433962264,0.358490566037736,0.0377358490566038,0.6,0.4,0.904761904761905,0.0952380952380952,0.339622641509434,0.247619047619048,0.293620844564241,0.60377358490566
"18",0.09,0.962264150943396,0.622641509433962,0.377358490566038,0.0377358490566038,0.607142857142857,0.392857142857143,0.909090909090909,0.0909090909090909,0.330188679245283,0.241883116883117,0.2860358980642,0.584905660377358
"19",0.091,0.962264150943396,0.60377358490566,0.39622641509434,0.0377358490566038,0.614457831325301,0.385542168674699,0.91304347826087,0.0869565217391304,0.320754716981132,0.236249345206915,0.278502031094023,0.566037735849057
"20",0.117,0.962264150943396,0.584905660377358,0.415094339622642,0.0377358490566038,0.621951219512195,0.378048780487805,0.916666666666667,0.0833333333333333,0.311320754716981,0.230691056910569,0.271005905813775,0.547169811320755
"21",0.14,0.962264150943396,0.566037735849057,0.433962264150943,0.0377358490566038,0.62962962962963,0.37037037037037,0.92,0.08,0.30188679245283,0.225185185185185,0.263535988819008,0.528301886792453
"22",0.172,0.962264150943396,0.547169811320755,0.452830188679245,0.0377358490566038,0.6375,0.3625,0.923076923076923,0.0769230769230769,0.292452830188679,0.219711538461538,0.256082184325109,0.509433962264151
"23",0.197,0.962264150943396,0.528301886792453,0.471698113207547,0.0377358490566038,0.645569620253165,0.354430379746835,0.925925925925926,0.0740740740740741,0.283018867924528,0.214252226910455,0.248635547417492,0.490566037735849
"24",0.2,0.962264150943396,0.509433962264151,0.490566037735849,0.0377358490566038,0.653846153846154,0.346153846153846,0.928571428571429,0.0714285714285714,0.273584905660377,0.208791208791209,0.241188057225793,0.471698113207547
"25",0.202,0.962264150943396,0.490566037735849,0.509433962264151,0.0377358490566038,0.662337662337662,0.337662337662338,0.931034482758621,0.0689655172413793,0.264150943396226,0.203313927451859,0.233732435424042,0.452830188679245
"26",0.263,0.962264150943396,0.471698113207547,0.528301886792453,0.0377358490566038,0.671052631578947,0.328947368421053,0.933333333333333,0.0666666666666667,0.254716981132075,0.19780701754386,0.226261999337968,0.433962264150943
"27",0.272,0.962264150943396,0.452830188679245,0.547169811320755,0.0377358490566038,0.68,0.32,0.935483870967742,0.0645161290322581,0.245283018867925,0.192258064516129,0.218770541692027,0.415094339622642
